Date,Centre_Name,Commodity_Name,Price
28-01-09,LUDHIANA,Onion,2000
28-01-09,LUCKNOW,Onion,NA
28-01-09,DEHRADUN,Onion,NA
28-01-09,RAIPUR,Onion,NA
28-01-09,AHMEDABAD,Onion,NA
28-01-09,BHOPAL,Onion,1600
28-01-09,MUMBAI,Onion,NA
28-01-09,JAIPUR,Onion,1300
28-01-09,PATNA,Onion,NA
28-01-09,RANCHI,Onion,NA
28-01-09,BHUBANESHWAR,Onion,1800
28-01-09,KOLKATA,Onion,NA
28-01-09,GUWAHATI,Onion,NA
28-01-09,SHILLONG,Onion,NA
28-01-09,AIZWAL,Onion,NA
28-01-09,KOHIMA,Onion,NA
28-01-09,AGARTALA,Onion,NA
28-01-09,BENGALURU,Onion,1600
28-01-09,T.PURAM,Onion,NA
28-01-09,CHENNAI,Onion,NA
28-01-09,HYDERABAD,Onion,NA
29-01-09,CHANDIGARH,Onion,NA
29-01-09,DELHI,Onion,1000
29-01-09,SHIMLA,Onion,NA
29-01-09,SRINAGAR,Onion,NA
29-01-09,JAMMU,Onion,NA
29-01-09,AMRITSAR,Onion,1600
29-01-09,LUDHIANA,Onion,2000
29-01-09,LUCKNOW,Onion,NA
29-01-09,DEHRADUN,Onion,NA
29-01-09,RAIPUR,Onion,NA
29-01-09,AHMEDABAD,Onion,NA
29-01-09,BHOPAL,Onion,NA
29-01-09,MUMBAI,Onion,NA
29-01-09,JAIPUR,Onion,NA
29-01-09,PATNA,Onion,NA
29-01-09,RANCHI,Onion,NA
29-01-09,BHUBANESHWAR,Onion,NA
29-01-09,KOLKATA,Onion,NA
29-01-09,GUWAHATI,Onion,NA
29-01-09,SHILLONG,Onion,NA
29-01-09,AIZWAL,Onion,NA
29-01-09,KOHIMA,Onion,NA
29-01-09,AGARTALA,Onion,NA
29-01-09,BENGALURU,Onion,1600
29-01-09,T.PURAM,Onion,NA
29-01-09,CHENNAI,Onion,1200
29-01-09,HYDERABAD,Onion,NA
30-01-09,CHANDIGARH,Onion,NA
30-01-09,DELHI,Onion,962
30-01-09,SHIMLA,Onion,NA
30-01-09,SRINAGAR,Onion,NA
30-01-09,JAMMU,Onion,NA
30-01-09,AMRITSAR,Onion,NA
30-01-09,LUDHIANA,Onion,NA
30-01-09,LUCKNOW,Onion,NA
30-01-09,DEHRADUN,Onion,NA
30-01-09,RAIPUR,Onion,NA
30-01-09,AHMEDABAD,Onion,NA
30-01-09,BHOPAL,Onion,1600
30-01-09,MUMBAI,Onion,NA
30-01-09,JAIPUR,Onion,NA
30-01-09,PATNA,Onion,NA
30-01-09,RANCHI,Onion,NA
30-01-09,BHUBANESHWAR,Onion,NA
30-01-09,KOLKATA,Onion,NA
30-01-09,GUWAHATI,Onion,NA
30-01-09,SHILLONG,Onion,NA
30-01-09,AIZWAL,Onion,NA
30-01-09,KOHIMA,Onion,NA
30-01-09,AGARTALA,Onion,NA
30-01-09,BENGALURU,Onion,1600
30-01-09,T.PURAM,Onion,NA
30-01-09,CHENNAI,Onion,NA
30-01-09,HYDERABAD,Onion,NA
02-02-09,CHANDIGARH,Onion,NA
02-02-09,DELHI,Onion,800
02-02-09,SHIMLA,Onion,NA
02-02-09,SRINAGAR,Onion,NA
02-02-09,JAMMU,Onion,NA
02-02-09,AMRITSAR,Onion,1600
02-02-09,LUDHIANA,Onion,2000
02-02-09,LUCKNOW,Onion,1600
02-02-09,DEHRADUN,Onion,NA
02-02-09,RAIPUR,Onion,NA
02-02-09,AHMEDABAD,Onion,NA
02-02-09,BHOPAL,Onion,900
02-02-09,MUMBAI,Onion,NA
02-02-09,JAIPUR,Onion,1200
02-02-09,PATNA,Onion,NA
02-02-09,RANCHI,Onion,NA
02-02-09,BHUBANESHWAR,Onion,1450
02-02-09,KOLKATA,Onion,NA
02-02-09,GUWAHATI,Onion,NA
02-02-09,SHILLONG,Onion,NA
02-02-09,AIZWAL,Onion,NA
02-02-09,KOHIMA,Onion,NA
02-02-09,AGARTALA,Onion,NA
02-02-09,BENGALURU,Onion,1400
02-02-09,T.PURAM,Onion,NA
02-02-09,CHENNAI,Onion,NA
02-02-09,HYDERABAD,Onion,NA
03-02-09,CHANDIGARH,Onion,NA
03-02-09,DELHI,Onion,800
03-02-09,SHIMLA,Onion,NA
03-02-09,SRINAGAR,Onion,NA
03-02-09,JAMMU,Onion,NA
03-02-09,AMRITSAR,Onion,1600
03-02-09,LUDHIANA,Onion,2000
03-02-09,LUCKNOW,Onion,1600
03-02-09,DEHRADUN,Onion,NA
03-02-09,RAIPUR,Onion,NA
03-02-09,AHMEDABAD,Onion,NA
03-02-09,BHOPAL,Onion,NA
03-02-09,MUMBAI,Onion,NA
03-02-09,JAIPUR,Onion,1200
03-02-09,PATNA,Onion,NA
03-02-09,RANCHI,Onion,NA
03-02-09,BHUBANESHWAR,Onion,1450
03-02-09,KOLKATA,Onion,NA
03-02-09,GUWAHATI,Onion,NA
03-02-09,SHILLONG,Onion,NA
03-02-09,AIZWAL,Onion,NA
03-02-09,KOHIMA,Onion,NA
03-02-09,AGARTALA,Onion,NA
03-02-09,BENGALURU,Onion,1200
03-02-09,T.PURAM,Onion,NA
03-02-09,CHENNAI,Onion,NA
03-02-09,HYDERABAD,Onion,NA
04-02-09,CHANDIGARH,Onion,NA
04-02-09,DELHI,Onion,800
04-02-09,SHIMLA,Onion,NA
04-02-09,SRINAGAR,Onion,NA
04-02-09,JAMMU,Onion,NA
04-02-09,AMRITSAR,Onion,1800
04-02-09,LUDHIANA,Onion,1800
04-02-09,LUCKNOW,Onion,NA
04-02-09,DEHRADUN,Onion,1600
04-02-09,RAIPUR,Onion,NA
04-02-09,AHMEDABAD,Onion,NA
04-02-09,BHOPAL,Onion,900
04-02-09,MUMBAI,Onion,NA
04-02-09,JAIPUR,Onion,1200
04-02-09,PATNA,Onion,NA
04-02-09,RANCHI,Onion,NA
04-02-09,BHUBANESHWAR,Onion,1400
